1,06/04/2016 05:24:06 AM,06/04/2016 05:38:58 AM,N,1,-73.923866271972656,40.706771850585938,-73.976608276367188,40.682273864746094,3,4.71,16.5,0.5
1,06/04/2016 05:24:15 AM,06/04/2016 05:28:07 AM,N,1,-73.9375,40.801437377929687,-73.93707275390625,40.829555511474609,1,2.5,8.5,0.5
2,06/04/2016 05:24:21 AM,06/04/2016 05:37:22 AM,N,1,-73.956146240234375,40.747188568115234,-73.864723205566406,40.770401000976562,1,8.29,23.5,0.5
2,06/04/2016 05:24:22 AM,06/04/2016 05:32:45 AM,N,1,-73.9373779296875,40.797630310058594,-73.971481323242187,40.794578552246094,1,2.54,9.5,0.5
2,06/04/2016 05:24:24 AM,06/04/2016 05:46:14 AM,N,1,-73.986488342285156,40.6690673828125,-73.922889709472656,40.682647705078125,2,5.32,19.5,0.5
2,06/04/2016 05:24:24 AM,06/04/2016 05:30:41 AM,N,1,-73.923805236816406,40.706817626953125,-73.931793212890625,40.707485198974609,2,0.93,6,0.5
2,06/04/2016 05:24:26 AM,06/04/2016 05:42:36 AM,N,1,-73.948341369628906,40.809131622314453,-73.975051879882813,40.742111206054688,1,5.87,19,0.5
1,06/04/2016 05:24:31 AM,06/04/2016 05:32:19 AM,N,1,-73.947433471679687,40.825103759765625,-73.947402954101563,40.825168609619141,1,1.4,7.5,0.5
2,06/04/2016 05:24:33 AM,06/04/2016 05:27:06 AM,N,1,-73.866241455078125,40.749538421630859,-73.862113952636719,40.749801635742187,2,0.15,3.5,0.5
1,06/04/2016 05:24:33 AM,06/04/2016 05:30:13 AM,N,1,-73.941360473632812,40.839321136474609,-73.920211791992188,40.866878509521484,1,2.8,9.5,0.5
2,06/04/2016 05:24:34 AM,06/04/2016 05:42:37 AM,N,1,-73.947959899902344,40.790023803710938,-73.940994262695313,40.721755981445313,1,10.44,29,0.5
2,06/04/2016 05:24:36 AM,06/04/2016 05:36:18 AM,N,1,-73.814804077148438,40.73223876953125,-73.858291625976563,40.750961303710938,5,3.48,12.5,0.5
2,06/04/2016 05:24:36 AM,06/04/2016 05:46:26 AM,N,1,-73.921646118164063,40.766853332519531,-73.988113403320313,40.759807586669922,1,5.5,20,0.5
2,06/04/2016 05:24:39 AM,06/04/2016 05:32:02 AM,N,1,-73.882682800292969,40.737556457519531,-73.829452514648438,40.738819122314453,1,3.64,12,0.5
2,06/04/2016 05:24:41 AM,06/04/2016 05:37:51 AM,N,1,-73.958724975585937,40.721157073974609,-73.957969665527344,40.670425415039063,3,3.89,13.5,0.5
2,06/04/2016 05:24:46 AM,06/04/2016 05:31:26 AM,N,1,-73.913368225097656,40.700763702392578,-73.935043334960937,40.697013854980469,1,1.16,6.5,0.5
2,06/04/2016 05:24:51 AM,06/04/2016 05:45:41 AM,N,1,-73.9202880859375,40.743167877197266,-73.789878845214844,40.646934509277344,3,13.32,37,0.5
2,06/04/2016 05:24:54 AM,06/04/2016 05:31:59 AM,N,1,-73.956352233886719,40.747509002685547,-73.95892333984375,40.760658264160156,6,2.95,10,0.5
2,06/04/2016 05:24:55 AM,06/04/2016 05:41:51 AM,N,1,-73.954185485839844,40.730503082275391,-73.987281799316406,40.668098449707031,1,6.43,20.5,0.5
1,06/04/2016 05:24:56 AM,06/04/2016 05:31:19 AM,N,1,-73.869285583496094,40.749107360839844,-73.877464294433594,40.736362457275391,1,1.3,7,0.5
2,06/04/2016 05:24:58 AM,06/05/2016 04:49:06 AM,N,1,-73.957733154296875,40.722423553466797,-73.916946411132813,40.703067779541016,2,4.25,16.5,0.5
2,06/04/2016 05:25:06 AM,06/04/2016 05:47:01 AM,N,1,-73.923912048339844,40.706737518310547,-73.928848266601562,40.707649230957031,1,1.49,13.5,0.5
2,06/04/2016 05:25:10 AM,06/04/2016 05:28:34 AM,N,1,-73.92120361328125,40.766761779785156,-73.927993774414063,40.75579833984375,1,0.91,5,0.5
2,06/04/2016 05:25:11 AM,06/04/2016 05:44:07 AM,N,1,-73.87188720703125,40.728958129882812,-73.855857849121094,40.704208374023438,1,3.4,15.5,0.5
1,06/04/2016 05:25:14 AM,06/04/2016 05:30:21 AM,N,1,-73.956100463867188,40.694492340087891,-73.960098266601563,40.715610504150391,1,1.7,7,0.5
2,06/04/2016 05:25:18 AM,06/04/2016 05:31:12 AM,N,1,-73.940521240234375,40.814495086669922,-73.951988220214844,40.823715209960938,1,1.13,6.5,0.5
2,06/04/2016 05:25:26 AM,06/04/2016 05:38:07 AM,N,1,-73.938766479492187,40.8448486328125,-73.892433166503906,40.868358612060547,1,3.77,13.5,0.5
1,06/04/2016 05:25:29 AM,06/04/2016 05:26:01 AM,N,5,-73.931816101074219,40.705757141113281,-73.931816101074219,40.705734252929687,1,2.7,60,0
1,06/04/2016 05:25:33 AM,06/04/2016 05:32:04 AM,N,1,-73.957771301269531,40.717784881591797,-73.953033447265625,40.727268218994141,1,1.1,6.5,0.5
2,06/04/2016 05:25:43 AM,06/04/2016 05:39:21 AM,N,1,-73.955879211425781,40.7197265625,-74.017356872558594,40.638446807861328,1,9.59,27,0.5
2,06/04/2016 05:25:49 AM,06/04/2016 05:38:49 AM,N,1,-73.84423828125,40.721351623535156,-73.790153503417969,40.645240783691406,1,7.31,21.5,0.5
2,06/04/2016 05:25:53 AM,06/04/2016 05:30:00 AM,N,1,-73.917808532714844,40.770053863525391,-73.876495361328125,40.758861541748047,1,2.44,8.5,0.5
2,06/04/2016 05:25:53 AM,06/04/2016 05:34:40 AM,N,1,-73.948036193847656,40.711292266845703,-73.925323486328125,40.700340270996094,1,1.89,8.5,0.5
2,06/04/2016 05:25:56 AM,06/04/2016 05:30:15 AM,N,1,-73.885040283203125,40.747440338134766,-73.896385192871094,40.747058868408203,1,0.63,5,0.5
